transaction_id,date,description,payee,amount,channel
TXN0147,2026-01-13 17:30:00,Shopping,Flipkart,7449,UPI
TXN0346,2026-01-13 21:25:00,Food,Cafe Coffee,698,UPI
TXN0259,2026-01-14 11:12:00,Bills,Electricity Board,3463,UPI
TXN0379,2026-01-14 12:54:00,Bills,Mobile Recharge,3059,UPI
TXN0887,2026-01-14 14:45:00,Salary,ABC Ltd,48000,Bank Transfer
TXN0601,2026-01-14 17:57:00,Travel,Ola,848,UPI
TXN0063,2026-01-14 19:29:00,Salary,ABC Ltd,42000,Bank Transfer
TXN0925,2026-01-15 12:10:00,Grocery,Fresh Market,2079,UPI
TXN0927,2026-01-15 13:16:00,Salary,ABC Ltd,45000,Bank Transfer
TXN0075,2026-01-15 17:53:00,Transfer,Ravi Kumar,9883,UPI
TXN0671,2026-01-16 09:10:00,Health,Pharmacy,4167,UPI
TXN0064,2026-01-16 14:52:00,Transfer,Ravi Kumar,6559,UPI
TXN0361,2026-01-16 16:10:00,Shopping,Book Shop,3790,NEFT
TXN0486,2026-01-17 09:53:00,Shopping,Book Shop,7914,NEFT
TXN0779,2026-01-17 10:51:00,Travel,Uber,1280,UPI
TXN0158,2026-01-17 15:04:00,Travel,Uber,1505,UPI
TXN0537,2026-01-17 17:23:00,Bills,Electricity Board,2878,UPI
TXN0826,2026-01-17 17:51:00,Grocery,Fresh Market,2499,UPI
TXN0875,2026-01-17 21:34:00,Bills,Electricity Board,3758,UPI
TXN0374,2026-01-18 09:33:00,Shopping,Book Shop,1199,UPI
TXN0189,2026-01-18 16:38:00,Salary,ABC Ltd,48000,Bank Transfer
TXN0348,2026-01-18 21:03:00,Bills,Electricity Board,2197,UPI
TXN0363,2026-01-19 09:22:00,Food,Cafe Coffee,1445,UPI
TXN0546,2026-01-19 10:08:00,Food,Cafe Coffee,1515,UPI
TXN0708,2026-01-19 11:12:00,Shopping,Priya Stores,6739,UPI
TXN0407,2026-01-19 14:46:00,Shopping,Book Shop,6578,UPI
TXN0304,2026-01-19 15:32:00,Food,Cafe Coffee,1403,UPI
TXN0547,2026-01-19 15:40:00,Travel,Ola,2935,UPI
TXN0142,2026-01-19 15:46:00,Travel,Uber,2729,UPI
TXN0223,2026-01-19 17:50:00,Salary,ABC Ltd,42000,Bank Transfer
TXN0969,2026-01-20 11:27:00,Shopping,Amazon,6889,UPI
TXN0455,2026-01-20 13:02:00,Shopping,Book Shop,6956,UPI
TXN0660,2026-01-20 17:37:00,Grocery,Fresh Market,552,UPI
TXN0945,2026-01-20 17:45:00,Food,Cafe Coffee,444,UPI
TXN0520,2026-01-20 19:27:00,Salary,ABC Ltd,50000,Bank Transfer
TXN0559,2026-01-21 08:46:00,Salary,ABC Ltd,48000,Bank Transfer
TXN0553,2026-01-21 12:16:00,Shopping,Flipkart,5702,NEFT
TXN0515,2026-01-21 13:35:00,Salary,ABC Ltd,48000,Bank Transfer
TXN0620,2026-01-21 13:54:00,Health,Pharmacy,3923,UPI
TXN0513,2026-01-21 15:20:00,Bills,Mobile Recharge,1978,UPI
TXN0705,2026-01-21 15:40:00,Shopping,Book Shop,3539,UPI
TXN0175,2026-01-21 16:01:00,Grocery,SuperMart,513,UPI
TXN0245,2026-01-21 18:12:00,Grocery,SuperMart,2069,UPI
TXN0299,2026-01-21 18:24:00,Shopping,Book Shop,3633,UPI
TXN0394,2026-01-22 08:53:00,Shopping,Amazon,1789,UPI
TXN0202,2026-01-22 12:07:00,Transfer,Ravi Kumar,7658,NEFT
TXN0225,2026-01-22 12:14:00,Grocery,Fresh Market,2004,UPI
TXN0886,2026-01-22 14:20:00,Salary,ABC Ltd,45000,Bank Transfer
TXN0438,2026-01-22 16:36:00,Salary,ABC Ltd,45000,Bank Transfer
TXN0963,2026-01-22 17:54:00,Grocery,Fresh Market,2370,UPI
TXN0170,2026-01-22 18:58:00,Travel,Uber,705,UPI
TXN0775,2026-01-22 20:22:00,Health,Pharmacy,4883,UPI
TXN0047,2026-01-22 20:29:00,Travel,Ola,433,UPI
TXN0763,2026-01-22 21:10:00,Bills,Mobile Recharge,2919,UPI
TXN0900,2026-01-23 09:42:00,Shopping,Amazon,6664,UPI
TXN0772,2026-01-23 14:02:00,Bills,Electricity Board,1262,UPI
TXN0950,2026-01-23 17:26:00,Travel,Ola,182,UPI
TXN0004,2026-01-23 18:04:00,Travel,Uber,280,UPI
TXN0631,2026-01-23 19:07:00,Bills,Mobile Recharge,2402,UPI
TXN0266,2026-01-24 11:50:00,Shopping,Book Shop,7978,UPI
TXN0247,2026-01-24 11:54:00,Salary,ABC Ltd,42000,Bank Transfer
TXN0576,2026-01-24 14:42:00,Bills,Electricity Board,4245,UPI
TXN0664,2026-01-24 16:42:00,Travel,Ola,377,UPI
TXN0885,2026-01-24 19:10:00,Food,Cafe Coffee,712,UPI
TXN0345,2026-01-24 19:18:00,Shopping,Flipkart,5756,UPI
TXN0390,2026-01-24 20:44:00,Bills,Electricity Board,2262,UPI
TXN0069,2026-01-24 20:51:00,Shopping,Book Shop,2436,UPI
TXN0139,2026-01-24 21:58:00,Shopping,Priya Stores,2424,NEFT
TXN0889,2026-01-25 08:01:00,Shopping,Flipkart,4406,UPI
TXN0980,2026-01-25 15:53:00,Grocery,Fresh Market,872,UPI
TXN0068,2026-01-26 08:51:00,Salary,ABC Ltd,42000,Bank Transfer
TXN0088,2026-01-26 09:15:00,Bills,Electricity Board,2246,UPI
TXN0284,2026-01-26 15:30:00,Grocery,Fresh Market,2454,UPI
TXN0880,2026-01-26 18:41:00,Shopping,Priya Stores,7354,NEFT
TXN0342,2026-01-26 19:42:00,Food,Cafe Coffee,1315,UPI
TXN0477,2026-01-26 20:11:00,Salary,ABC Ltd,48000,Bank Transfer
TXN0293,2026-01-26 20:58:00,Salary,ABC Ltd,42000,Bank Transfer
TXN0367,2026-01-26 21:32:00,Transfer,Ravi Kumar,2874,IMPS
TXN0219,2026-01-27 08:12:00,Bills,Mobile Recharge,2829,UPI
TXN0010,2026-01-27 09:34:00,Travel,Uber,546,UPI
TXN0894,2026-01-27 13:20:00,Food,Cafe Coffee,812,UPI
TXN0186,2026-01-27 19:53:00,Shopping,Priya Stores,2970,UPI
TXN0437,2026-01-27 21:50:00,Health,Pharmacy,3113,UPI
TXN0414,2026-01-28 12:09:00,Travel,Uber,2562,UPI
TXN0183,2026-01-28 17:52:00,Grocery,SuperMart,1577,UPI
TXN0330,2026-01-28 19:31:00,Shopping,Flipkart,4362,UPI
TXN0801,2026-01-28 21:07:00,Shopping,Flipkart,5887,NEFT
TXN0145,2026-01-28 21:17:00,Travel,Uber,1046,UPI
TXN0682,2026-01-29 08:32:00,Shopping,Priya Stores,5908,NEFT
TXN0399,2026-01-29 12:50:00,Salary,ABC Ltd,50000,Bank Transfer
TXN0039,2026-01-29 13:00:00,Travel,Uber,797,UPI
TXN0045,2026-01-29 14:11:00,Health,Pharmacy,2819,UPI
TXN0222,2026-01-30 09:06:00,Travel,Uber,2164,UPI
TXN0334,2026-01-30 10:23:00,Grocery,SuperMart,452,UPI
TXN0119,2026-01-30 12:27:00,Shopping,Amazon,5256,NEFT
TXN0926,2026-01-30 15:44:00,Bills,Mobile Recharge,5487,UPI
TXN0180,2026-01-30 17:37:00,Shopping,Flipkart,4309,NEFT
TXN0663,2026-01-30 19:36:00,Shopping,Flipkart,6372,NEFT
TXN0812,2026-01-30 20:27:00,Shopping,Amazon,3353,NEFT
TXN0182,2026-01-30 21:16:00,Shopping,Book Shop,1841,NEFT
TXN0928,2026-01-31 08:12:00,Transfer,Ravi Kumar,3248,IMPS
TXN0932,2026-01-31 21:09:00,Health,Pharmacy,540,UPI
TXN0981,2026-02-01 08:12:00,Grocery,SuperMart,1210,UPI
TXN0987,2026-02-01 08:43:00,Travel,Ola,357,UPI
TXN0534,2026-02-01 10:18:00,Shopping,Book Shop,1106,NEFT
TXN0013,2026-02-01 14:27:00,Grocery,Fresh Market,1500,UPI
TXN0550,2026-02-01 16:50:00,Shopping,Amazon,2991,UPI
TXN0986,2026-02-02 09:34:00,Health,Pharmacy,3016,UPI
TXN0587,2026-02-02 09:39:00,Travel,Uber,1678,UPI
TXN0554,2026-02-02 18:40:00,Food,Restaurant A,1458,UPI
TXN0450,2026-02-02 19:26:00,Transfer,Ravi Kumar,9624,UPI
TXN0865,2026-02-02 19:58:00,Shopping,Book Shop,1587,UPI
TXN0347,2026-02-02 21:25:00,Bills,Mobile Recharge,2181,UPI
TXN0353,2026-02-03 08:15:00,Food,Cafe Coffee,687,UPI
TXN0982,2026-02-03 11:22:00,Shopping,Book Shop,3781,NEFT
TXN0912,2026-02-03 14:36:00,Shopping,Book Shop,7372,NEFT
TXN0549,2026-02-03 15:23:00,Bills,Electricity Board,953,UPI
TXN0890,2026-02-03 18:07:00,Shopping,Flipkart,4755,NEFT
TXN0448,2026-02-03 18:09:00,Transfer,Ravi Kumar,2388,NEFT
TXN0100,2026-02-03 18:52:00,Food,Restaurant A,530,UPI
TXN0502,2026-02-04 09:04:00,Transfer,Ravi Kumar,8498,UPI
TXN0272,2026-02-04 09:11:00,Food,Restaurant A,1782,UPI
TXN0783,2026-02-04 13:11:00,Grocery,SuperMart,1920,UPI
TXN0638,2026-02-04 16:36:00,Travel,Ola,1267,UPI
TXN0964,2026-02-04 18:52:00,Shopping,Book Shop,3730,UPI
TXN0673,2026-02-04 21:04:00,Salary,ABC Ltd,50000,Bank Transfer
TXN0840,2026-02-05 11:11:00,Food,Cafe Coffee,1123,UPI
TXN0540,2026-02-05 12:02:00,Shopping,Priya Stores,4547,UPI
TXN0895,2026-02-05 14:31:00,Shopping,Priya Stores,7163,UPI
TXN0066,2026-02-05 15:12:00,Shopping,Amazon,2781,NEFT
TXN0646,2026-02-05 16:08:00,Food,Cafe Coffee,708,UPI
TXN0689,2026-02-05 16:35:00,Food,Restaurant A,679,UPI
TXN0032,2026-02-05 16:41:00,Travel,Ola,522,UPI
TXN0608,2026-02-05 16:51:00,Shopping,Flipkart,5094,NEFT
TXN0316,2026-02-05 18:43:00,Grocery,Fresh Market,461,UPI
TXN0730,2026-02-05 18:45:00,Shopping,Flipkart,1056,UPI
TXN0726,2026-02-05 20:17:00,Bills,Electricity Board,4500,UPI
TXN0403,2026-02-05 21:02:00,Food,Restaurant A,792,UPI
TXN0756,2026-02-05 21:29:00,Transfer,Ravi Kumar,2284,IMPS
TXN0240,2026-02-06 09:13:00,Grocery,SuperMart,979,UPI
TXN0589,2026-02-06 11:23:00,Bills,Mobile Recharge,4670,UPI
TXN0567,2026-02-06 13:20:00,Shopping,Book Shop,6384,NEFT
TXN0701,2026-02-06 21:45:00,Travel,Ola,386,UPI
TXN0719,2026-02-07 08:16:00,Food,Restaurant A,1333,UPI
TXN0364,2026-02-07 09:07:00,Shopping,Amazon,2752,NEFT
TXN0478,2026-02-07 10:20:00,Grocery,SuperMart,1475,UPI
TXN0472,2026-02-07 15:27:00,Grocery,Fresh Market,1209,UPI
TXN0603,2026-02-07 19:37:00,Shopping,Flipkart,758,UPI
TXN0866,2026-02-07 20:08:00,Food,Cafe Coffee,706,UPI
TXN0992,2026-02-08 08:35:00,Bills,Mobile Recharge,5572,UPI
TXN0224,2026-02-08 10:32:00,Shopping,Priya Stores,5110,NEFT
TXN0446,2026-02-08 13:41:00,Grocery,Fresh Market,879,UPI
TXN0970,2026-02-09 09:48:00,Shopping,Amazon,4182,NEFT
TXN0459,2026-02-09 10:46:00,Shopping,Amazon,7310,UPI
TXN0721,2026-02-09 11:20:00,Food,Cafe Coffee,671,UPI
TXN0043,2026-02-09 14:22:00,Shopping,Priya Stores,1823,UPI
TXN0192,2026-02-09 15:25:00,Shopping,Amazon,6511,NEFT
TXN0922,2026-02-09 17:09:00,Food,Cafe Coffee,1000,UPI
TXN0766,2026-02-09 20:37:00,Travel,Uber,1447,UPI
TXN0232,2026-02-10 08:02:00,Travel,Uber,1995,UPI
TXN0231,2026-02-10 12:05:00,Shopping,Amazon,5021,UPI
TXN0392,2026-02-10 14:18:00,Food,Restaurant A,1677,UPI
TXN0565,2026-02-10 15:30:00,Travel,Uber,2133,UPI
TXN0112,2026-02-10 21:26:00,Transfer,Ravi Kumar,2771,NEFT
TXN0974,2026-02-10 21:46:00,Salary,ABC Ltd,48000,Bank Transfer
TXN0471,2026-02-11 12:39:00,Travel,Ola,2252,UPI
TXN0551,2026-02-11 13:30:00,Health,Pharmacy,2147,UPI
TXN0022,2026-02-11 15:53:00,Travel,Uber,1255,UPI
TXN0640,2026-02-11 20:28:00,Travel,Ola,2805,UPI
TXN0467,2026-02-11 21:56:00,Shopping,Flipkart,7063,UPI
TXN0322,2026-02-12 12:23:00,Health,Pharmacy,4247,UPI
TXN0662,2026-02-12 13:35:00,Shopping,Book Shop,4762,NEFT
TXN0931,2026-02-12 14:20:00,Shopping,Amazon,6642,NEFT
TXN0167,2026-02-12 15:58:00,Health,Pharmacy,1345,UPI
TXN0802,2026-02-12 19:02:00,Bills,Mobile Recharge,862,UPI
TXN0517,2026-02-12 19:46:00,Travel,Ola,1589,UPI
TXN0988,2026-02-13 17:47:00,Travel,Uber,1767,UPI
TXN0556,2026-02-13 18:06:00,Bills,Mobile Recharge,1763,UPI
TXN0557,2026-02-13 19:14:00,Bills,Mobile Recharge,5457,UPI
TXN0352,2026-02-14 09:52:00,Salary,ABC Ltd,42000,Bank Transfer
TXN0249,2026-02-14 16:01:00,Bills,Electricity Board,5837,UPI
TXN0839,2026-02-14 17:28:00,Shopping,Amazon,4511,NEFT
TXN0421,2026-02-14 18:16:00,Shopping,Amazon,6727,UPI
TXN0643,2026-02-14 18:25:00,Shopping,Book Shop,5732,NEFT
TXN0535,2026-02-14 20:10:00,Travel,Ola,509,UPI
TXN0942,2026-02-15 08:36:00,Bills,Electricity Board,5871,UPI
TXN0738,2026-02-15 09:49:00,Health,Pharmacy,1089,UPI
TXN0947,2026-02-15 11:48:00,Shopping,Priya Stores,4725,UPI
TXN0788,2026-02-15 14:47:00,Food,Cafe Coffee,796,UPI
TXN0109,2026-02-15 15:02:00,Grocery,SuperMart,1034,UPI
TXN0041,2026-02-15 16:39:00,Health,Pharmacy,1171,UPI
TXN0422,2026-02-15 21:11:00,Salary,ABC Ltd,50000,Bank Transfer
TXN0146,2026-02-15 21:43:00,Transfer,Ravi Kumar,9486,NEFT
TXN0388,2026-02-16 10:26:00,Bills,Mobile Recharge,5884,UPI
TXN0453,2026-02-16 11:39:00,Food,Cafe Coffee,1769,UPI
TXN0835,2026-02-16 14:22:00,Transfer,Ravi Kumar,3316,IMPS
TXN0199,2026-02-16 16:19:00,Shopping,Flipkart,3406,NEFT
TXN0221,2026-02-17 08:52:00,Food,Restaurant A,1178,UPI
TXN0078,2026-02-17 09:10:00,Bills,Mobile Recharge,1056,UPI
TXN0822,2026-02-17 11:10:00,Salary,ABC Ltd,50000,Bank Transfer
TXN0212,2026-02-17 11:16:00,Shopping,Flipkart,6550,NEFT
TXN0991,2026-02-17 12:41:00,Food,Restaurant A,1113,UPI
TXN0827,2026-02-17 14:14:00,Food,Cafe Coffee,603,UPI
TXN0530,2026-02-17 16:31:00,Bills,Electricity Board,3670,UPI
TXN0727,2026-02-17 17:15:00,Salary,ABC Ltd,42000,Bank Transfer
TXN0604,2026-02-18 08:19:00,Travel,Ola,1434,UPI
TXN0061,2026-02-18 09:36:00,Grocery,Fresh Market,2065,UPI
TXN0435,2026-02-18 13:29:00,Bills,Mobile Recharge,4396,UPI
TXN0279,2026-02-18 19:54:00,Shopping,Flipkart,5184,NEFT
TXN0574,2026-02-18 21:01:00,Shopping,Amazon,4581,NEFT
TXN0639,2026-02-19 21:48:00,Grocery,Fresh Market,1654,UPI
TXN0954,2026-02-20 20:30:00,Health,Pharmacy,4777,UPI
TXN0178,2026-02-21 08:20:00,Bills,Mobile Recharge,1748,UPI
TXN0320,2026-02-21 10:15:00,Shopping,Priya Stores,4918,NEFT
TXN0622,2026-02-21 17:11:00,Food,Restaurant A,1351,UPI
TXN0883,2026-02-21 19:45:00,Health,Pharmacy,1380,UPI
TXN0712,2026-02-22 14:46:00,Health,Pharmacy,2260,UPI
TXN0606,2026-02-22 15:00:00,Bills,Electricity Board,5509,UPI
TXN0160,2026-02-22 15:10:00,Travel,Uber,2542,UPI
TXN0859,2026-02-22 21:53:00,Shopping,Flipkart,7098,UPI
TXN0134,2026-02-23 15:20:00,Shopping,Priya Stores,5251,NEFT
TXN0230,2026-02-23 18:40:00,Shopping,Flipkart,2667,UPI
TXN0106,2026-02-23 19:38:00,Shopping,Flipkart,5963,UPI
TXN0615,2026-02-23 19:46:00,Transfer,Ravi Kumar,9011,NEFT
TXN0856,2026-02-23 21:50:00,Transfer,Ravi Kumar,10632,IMPS
TXN0381,2026-02-24 10:38:00,Salary,ABC Ltd,50000,Bank Transfer
TXN0136,2026-02-24 16:43:00,Travel,Ola,845,UPI
TXN0898,2026-02-24 18:43:00,Transfer,Ravi Kumar,3480,NEFT
TXN0027,2026-02-24 19:11:00,Travel,Ola,1770,UPI
TXN0916,2026-02-25 08:40:00,Health,Pharmacy,795,UPI
TXN0876,2026-02-25 15:19:00,Shopping,Book Shop,2235,NEFT
TXN0669,2026-02-25 17:52:00,Grocery,Fresh Market,485,UPI
TXN0846,2026-02-26 12:59:00,Grocery,SuperMart,1425,UPI
TXN0401,2026-02-26 14:44:00,Bills,Mobile Recharge,948,UPI
TXN0359,2026-02-26 18:29:00,Grocery,SuperMart,2435,UPI
TXN0332,2026-02-26 19:03:00,Grocery,Fresh Market,2201,UPI
TXN0678,2026-02-27 08:03:00,Shopping,Priya Stores,686,NEFT
TXN0115,2026-02-27 08:24:00,Salary,ABC Ltd,45000,Bank Transfer
TXN0382,2026-02-27 09:50:00,Food,Cafe Coffee,1339,UPI
TXN0847,2026-02-27 17:10:00,Food,Restaurant A,544,UPI
TXN0140,2026-02-27 21:45:00,Shopping,Flipkart,1707,UPI
TXN0025,2026-02-28 08:32:00,Shopping,Priya Stores,3084,NEFT
TXN0893,2026-02-28 14:32:00,Grocery,Fresh Market,719,UPI
TXN0313,2026-02-28 18:21:00,Shopping,Priya Stores,3386,UPI
TXN0939,2026-02-28 20:38:00,Bills,Electricity Board,521,UPI
TXN0292,2026-02-28 20:44:00,Grocery,Fresh Market,2077,UPI
TXN0758,2026-03-01 09:17:00,Food,Cafe Coffee,1439,UPI
TXN0017,2026-03-01 09:43:00,Travel,Uber,1288,UPI
TXN0280,2026-03-01 21:14:00,Travel,Uber,328,UPI
TXN0821,2026-03-01 21:36:00,Travel,Uber,2729,UPI
TXN0651,2026-03-02 09:03:00,Salary,ABC Ltd,42000,Bank Transfer
TXN0420,2026-03-02 09:45:00,Shopping,Amazon,2596,UPI
TXN0155,2026-03-02 12:38:00,Food,Cafe Coffee,854,UPI
TXN0336,2026-03-02 17:10:00,Shopping,Amazon,3683,NEFT
TXN0046,2026-03-03 08:59:00,Shopping,Flipkart,7692,UPI
TXN0179,2026-03-03 10:09:00,Travel,Ola,2892,UPI
TXN0684,2026-03-03 11:31:00,Grocery,Fresh Market,713,UPI
TXN0577,2026-03-03 11:40:00,Bills,Mobile Recharge,3390,UPI
TXN0700,2026-03-03 11:50:00,Food,Restaurant A,1649,UPI
TXN0796,2026-03-03 12:18:00,Salary,ABC Ltd,45000,Bank Transfer
TXN0084,2026-03-03 12:31:00,Travel,Uber,686,UPI
TXN0570,2026-03-03 15:57:00,Grocery,Fresh Market,1395,UPI
TXN0490,2026-03-03 17:44:00,Travel,Uber,917,UPI
TXN0497,2026-03-03 20:30:00,Salary,ABC Ltd,42000,Bank Transfer
TXN0624,2026-03-04 08:51:00,Salary,ABC Ltd,45000,Bank Transfer
TXN0955,2026-03-04 10:34:00,Grocery,SuperMart,1979,UPI
TXN0002,2026-03-04 11:48:00,Shopping,Amazon,6533,UPI
TXN0790,2026-03-04 13:33:00,Travel,Uber,1298,UPI
TXN0090,2026-03-04 14:18:00,Food,Restaurant A,523,UPI
TXN0270,2026-03-04 15:47:00,Bills,Electricity Board,1684,UPI
TXN0297,2026-03-04 17:03:00,Travel,Uber,2468,UPI
TXN0776,2026-03-04 17:45:00,Bills,Electricity Board,1889,UPI
TXN0742,2026-03-04 19:53:00,Shopping,Flipkart,2957,UPI
TXN0067,2026-03-05 09:17:00,Travel,Ola,2404,UPI
TXN0573,2026-03-05 10:43:00,Shopping,Book Shop,3182,NEFT
TXN0065,2026-03-05 11:16:00,Shopping,Flipkart,4893,NEFT
TXN0053,2026-03-05 11:50:00,Grocery,Fresh Market,1684,UPI
TXN0152,2026-03-05 18:52:00,Food,Restaurant A,1768,UPI
TXN0658,2026-03-05 19:36:00,Shopping,Priya Stores,5380,UPI
TXN0764,2026-03-05 20:10:00,Grocery,Fresh Market,636,UPI
TXN0029,2026-03-05 20:42:00,Bills,Electricity Board,4915,UPI
TXN0506,2026-03-06 08:37:00,Shopping,Priya Stores,5799,UPI
TXN0098,2026-03-06 08:52:00,Grocery,Fresh Market,2034,UPI
TXN0468,2026-03-06 08:53:00,Salary,ABC Ltd,50000,Bank Transfer
TXN0306,2026-03-06 15:47:00,Shopping,Book Shop,2974,UPI
TXN0704,2026-03-07 11:28:00,Food,Cafe Coffee,1524,UPI
TXN0641,2026-03-07 20:15:00,Shopping,Amazon,615,NEFT
TXN0724,2026-03-07 21:01:00,Shopping,Book Shop,4502,NEFT
TXN0938,2026-03-07 21:11:00,Grocery,Fresh Market,772,UPI
TXN0650,2026-03-08 19:09:00,Food,Cafe Coffee,1618,UPI
TXN0532,2026-03-08 20:00:00,Travel,Ola,1028,UPI
TXN0355,2026-03-09 08:53:00,Shopping,Amazon,6576,NEFT
TXN0094,2026-03-09 09:58:00,Health,Pharmacy,1176,UPI
TXN0287,2026-03-09 13:46:00,Bills,Mobile Recharge,3756,UPI
TXN0600,2026-03-09 19:11:00,Shopping,Priya Stores,6858,UPI
TXN0030,2026-03-09 20:44:00,Bills,Mobile Recharge,4009,UPI
TXN0026,2026-03-10 09:07:00,Shopping,Flipkart,7980,NEFT
TXN0765,2026-03-10 10:37:00,Travel,Uber,2746,UPI
TXN0195,2026-03-10 13:30:00,Shopping,Book Shop,2511,UPI
TXN0877,2026-03-10 13:30:00,Shopping,Book Shop,2823,NEFT
TXN0707,2026-03-10 14:26:00,Salary,ABC Ltd,42000,Bank Transfer
TXN0262,2026-03-10 17:22:00,Shopping,Amazon,2859,NEFT
TXN0038,2026-03-10 21:07:00,Salary,ABC Ltd,48000,Bank Transfer
TXN0850,2026-03-10 21:13:00,Bills,Electricity Board,3505,UPI
TXN0274,2026-03-10 22:00:00,Grocery,SuperMart,1458,UPI
TXN0749,2026-03-11 08:47:00,Health,Pharmacy,909,UPI
TXN0769,2026-03-11 09:44:00,Shopping,Amazon,1215,UPI
TXN0269,2026-03-11 15:05:00,Shopping,Book Shop,4452,NEFT
TXN0165,2026-03-11 15:26:00,Travel,Ola,268,UPI
TXN0099,2026-03-12 08:45:00,Grocery,SuperMart,1666,UPI
TXN0217,2026-03-12 08:46:00,Grocery,SuperMart,1496,UPI
TXN0351,2026-03-12 10:28:00,Shopping,Amazon,4925,NEFT
TXN0344,2026-03-12 11:14:00,Grocery,Fresh Market,2162,UPI
TXN0154,2026-03-12 15:30:00,Grocery,Fresh Market,1470,UPI
TXN0428,2026-03-12 18:05:00,Grocery,SuperMart,1741,UPI
TXN0903,2026-03-12 19:00:00,Grocery,Fresh Market,1316,UPI
TXN0213,2026-03-12 20:21:00,Bills,Mobile Recharge,4797,UPI
TXN0340,2026-03-13 08:33:00,Transfer,Ravi Kumar,7070,UPI
TXN0961,2026-03-13 09:35:00,Grocery,SuperMart,1248,UPI
TXN0117,2026-03-13 13:59:00,Salary,ABC Ltd,50000,Bank Transfer
TXN0196,2026-03-13 15:41:00,Shopping,Flipkart,6647,NEFT
TXN0586,2026-03-13 18:38:00,Salary,ABC Ltd,42000,Bank Transfer
TXN0058,2026-03-13 19:25:00,Travel,Ola,1027,UPI
TXN0174,2026-03-13 20:50:00,Shopping,Book Shop,3953,NEFT
